NM_MUNICIPIO;NR_ZONA;CD_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;QT_VOTOS_NOMINAIS
BOA VISTA;5;13;FRANCISCO IDELMOND DE ALBUQUERQUE;IDELMOND SPORT E CIA;27;DC;Democracia Cristã;602
BOA VISTA;1;13;FRANCISCO IDELMOND DE ALBUQUERQUE;IDELMOND SPORT E CIA;27;DC;Democracia Cristã;437
BOA VISTA;5;13;JOELSON HENKE DE MEDEIROS;JOEL HENKE;27;DC;Democracia Cristã;26
BOA VISTA;1;13;JOELSON HENKE DE MEDEIROS;JOEL HENKE;27;DC;Democracia Cristã;43
BOA VISTA;1;13;ANTÔNIO SILVA DA COSTA;PROF IVAN;27;DC;Democracia Cristã;148
BOA VISTA;5;13;ANTÔNIO SILVA DA COSTA;PROF IVAN;27;DC;Democracia Cristã;199
BOA VISTA;5;13;CARLOS VITOR VILHENA FILHO;CARLOS FILHO;27;DC;Democracia Cristã;0
BOA VISTA;1;13;CARLOS VITOR VILHENA FILHO;CARLOS FILHO;27;DC;Democracia Cristã;0
BOA VISTA;1;13;ELANE FLORENCIO RODRIGUES;ELANE FLORENCIO;27;DC;Democracia Cristã;344
BOA VISTA;5;13;ELANE FLORENCIO RODRIGUES;ELANE FLORENCIO;27;DC;Democracia Cristã;155
BOA VISTA;1;13;GEANE COSTA MACHADO;GEANE MACHADO A LOIRA DO SALÃO;27;DC;Democracia Cristã;12
BOA VISTA;5;13;GEANE COSTA MACHADO;GEANE MACHADO A LOIRA DO SALÃO;27;DC;Democracia Cristã;29
BOA VISTA;5;13;WAN KENOBBY CHA COSTA;RUAN KENOBBY;27;DC;Democracia Cristã;817
BOA VISTA;1;13;WAN KENOBBY CHA COSTA;RUAN KENOBBY;27;DC;Democracia Cristã;905
BOA VISTA;5;13;MARIA SOCORRO SICALES CAMPOS;SOCORRO SICALES;27;DC;Democracia Cristã;1
BOA VISTA;1;13;MARIA SOCORRO SICALES CAMPOS;SOCORRO SICALES;27;DC;Democracia Cristã;5
BOA VISTA;1;13;JULYANNA ALMEIDA DA SILVA;JULYANNA ALMEIDA;27;DC;Democracia Cristã;7
BOA VISTA;5;13;JULYANNA ALMEIDA DA SILVA;JULYANNA ALMEIDA;27;DC;Democracia Cristã;1
BOA VISTA;5;13;EDINALDO SILVA SOUSA;NALDO DO CRUVIANA;27;DC;Democracia Cristã;273
BOA VISTA;1;13;EDINALDO SILVA SOUSA;NALDO DO CRUVIANA;27;DC;Democracia Cristã;116
BOA VISTA;1;13;DULCIVALDO PEIXOTO VISINTAINER;INSTRUTOR SKY;27;DC;Democracia Cristã;63
BOA VISTA;5;13;DULCIVALDO PEIXOTO VISINTAINER;INSTRUTOR SKY;27;DC;Democracia Cristã;48
BOA VISTA;1;13;JORGE LACERDA;JORGE LACERDA;27;DC;Democracia Cristã;154
BOA VISTA;5;13;JORGE LACERDA;JORGE LACERDA;27;DC;Democracia Cristã;17
BOA VISTA;5;13;NADIA MARQUES DOS SANTOS;NADIA MARQUES;27;DC;Democracia Cristã;9
BOA VISTA;1;13;NADIA MARQUES DOS SANTOS;NADIA MARQUES;27;DC;Democracia Cristã;10
BOA VISTA;5;13;ANDREA CORDEIRO DA SILVA;DRA ANDRÉA;27;DC;Democracia Cristã;3
BOA VISTA;1;13;ANDREA CORDEIRO DA SILVA;DRA ANDRÉA;27;DC;Democracia Cristã;17
BOA VISTA;1;13;GILDEAN DOS SANTOS SOUSA;GILDEAN GARI;27;DC;Democracia Cristã;44
BOA VISTA;5;13;GILDEAN DOS SANTOS SOUSA;GILDEAN GARI;27;DC;Democracia Cristã;195
BOA VISTA;1;13;ROGERIO MATOS MOREIRA TRAJANO JUNIOR;JUNIOR TRAJANO;27;DC;Democracia Cristã;605
